firstname,middleInitial,lastname,username,email,streetaddress,city,zipcode,state,country,department,password,telephone,jobtitle,company,ou
STEVE,,KELLY,STEVE.KELLY,,,,,,,,melissa,,,Contoso,"CN=Users,DC=contoso,DC=com"
LOUIS,,SANDERS,LOUIS.SANDERS,,,,,,,,eminem,,,Contoso,"CN=Users,DC=contoso,DC=com"
JEREMY,,PRICE,JEREMY.PRICE,,,,,,,,matthew,,,Contoso,"CN=Users,DC=contoso,DC=com"
AARON,,BENNETT,AARON.BENNETT,,,,,,,,robert,,,Contoso,"CN=Users,DC=contoso,DC=com"
RANDY,,WOOD,RANDY.WOOD,,,,,,,,danielle,,,Contoso,"CN=Users,DC=contoso,DC=com"
HOWARD,,BARNES,HOWARD.BARNES,,,,,,,,forever,,,Contoso,"CN=Users,DC=contoso,DC=com"
EUGENE,,ROSS,EUGENE.ROSS,,,,,,,,family,,,Contoso,"CN=Users,DC=contoso,DC=com"
CARLOS,,HENDERSON,CARLOS.HENDERSON,,,,,,,,jonathan,,,Contoso,"CN=Users,DC=contoso,DC=com"
RUSSELL,,COLEMAN,RUSSELL.COLEMAN,,,,,,,,987654321,,,Contoso,"CN=Users,DC=contoso,DC=com"
BOBBY,,JENKINS,BOBBY.JENKINS,,,,,,,,computer,,,Contoso,"CN=Users,DC=contoso,DC=com"
VICTOR,,PERRY,VICTOR.PERRY,,,,,,,,whatever,,,Contoso,"CN=Users,DC=contoso,DC=com"
MARTIN,,POWELL,MARTIN.POWELL,,,,,,,,dragon,,,Contoso,"CN=Users,DC=contoso,DC=com"
ERNEST,,LONG,ERNEST.LONG,,,,,,,,vanessa,,,Contoso,"CN=Users,DC=contoso,DC=com"
PHILLIP,,PATTERSON,PHILLIP.PATTERSON,,,,,,,,cookie,,,Contoso,"CN=Users,DC=contoso,DC=com"
TODD,,HUGHES,TODD.HUGHES,,,,,,,,naruto,,,Contoso,"CN=Users,DC=contoso,DC=com"
JESSE,,FLORES,JESSE.FLORES,,,,,,,,summer,,,Contoso,"CN=Users,DC=contoso,DC=com"
CRAIG,,WASHINGTON,CRAIG.WASHINGTON,,,,,,,,sweety,,,Contoso,"CN=Users,DC=contoso,DC=com"
ALAN,,BUTLER,ALAN.BUTLER,,,,,,,,spongebob,,,Contoso,"CN=Users,DC=contoso,DC=com"
SHAWN,,SIMMONS,SHAWN.SIMMONS,,,,,,,,joseph,,,Contoso,"CN=Users,DC=contoso,DC=com"
CLARENCE,,FOSTER,CLARENCE.FOSTER,,,,,,,,junior,,,Contoso,"CN=Users,DC=contoso,DC=com"
SEAN,,GONZALES,SEAN.GONZALES,,,,,,,,softball,,,Contoso,"CN=Users,DC=contoso,DC=com"
PHILIP,,BRYANT,PHILIP.BRYANT,,,,,,,,taylor,,,Contoso,"CN=Users,DC=contoso,DC=com"
CHRIS,,ALEXANDER,CHRIS.ALEXANDER,,,,,,,,yellow,,,Contoso,"CN=Users,DC=contoso,DC=com"
JOHNNY,,RUSSELL,JOHNNY.RUSSELL,,,,,,,,daniela,,,Contoso,"CN=Users,DC=contoso,DC=com"
EARL,,GRIFFIN,EARL.GRIFFIN,,,,,,,,lauren,,,Contoso,"CN=Users,DC=contoso,DC=com"
JIMMY,,DIAZ,JIMMY.DIAZ,,,,,,,,mickey,,,Contoso,"CN=Users,DC=contoso,DC=com"
ANTONIO,,HAYES,ANTONIO.HAYES,,,,,,,,princesa,,,Contoso,"CN=Users,DC=contoso,DC=com"
DANNY,,MYERS,DANNY.MYERS,,,,,,,,alexandra,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRYAN,,FORD,BRYAN.FORD,,,,,,,,alexis,,,Contoso,"CN=Users,DC=contoso,DC=com"
TONY,,HAMILTON,TONY.HAMILTON,,,,,,,,jesustoachild,,,Contoso,"CN=Users,DC=contoso,DC=com"
LUIS,,GRAHAM,LUIS.GRAHAM,,,,,,,,estrella,,,Contoso,"CN=Users,DC=contoso,DC=com"
MIKE,,SULLIVAN,MIKE.SULLIVAN,,,,,,,,miguel,,,Contoso,"CN=Users,DC=contoso,DC=com"
STANLEY,,WALLACE,STANLEY.WALLACE,,,,,,,,william,,,Contoso,"CN=Users,DC=contoso,DC=com"
LEONARD,,WOODS,LEONARD.WOODS,,,,,,,,thomas,,,Contoso,"CN=Users,DC=contoso,DC=com"
NATHAN,,COLE,NATHAN.COLE,,,,,,,,beautiful,,,Contoso,"CN=Users,DC=contoso,DC=com"
DALE,,WEST,DALE.WEST,,,,,,,,mylove,,,Contoso,"CN=Users,DC=contoso,DC=com"
MANUEL,,JORDAN,MANUEL.JORDAN,,,,,,,,angela,,,Contoso,"CN=Users,DC=contoso,DC=com"
RODNEY,,OWENS,RODNEY.OWENS,,,,,,,,poohbear,,,Contoso,"CN=Users,DC=contoso,DC=com"
CURTIS,,REYNOLDS,CURTIS.REYNOLDS,,,,,,,,patrick,,,Contoso,"CN=Users,DC=contoso,DC=com"
NORMAN,,FISHER,NORMAN.FISHER,,,,,,,,iloveme,,,Contoso,"CN=Users,DC=contoso,DC=com"
ALLEN,,ELLIS,ALLEN.ELLIS,,,,,,,,sakura79,,,Contoso,"CN=Users,DC=contoso,DC=com"
MARVIN,,HARRISON,MARVIN.HARRISON,,,,,,,,adrian,,,Contoso,"CN=Users,DC=contoso,DC=com"
VINCENT,,GIBSON,VINCENT.GIBSON,,,,,,,,alexander,,,Contoso,"CN=Users,DC=contoso,DC=com"
GLENN,,MCDONALD,GLENN.MCDONALD,,,,,,,,destiny,,,Contoso,"CN=Users,DC=contoso,DC=com"
JEFFERY,,CRUZ,JEFFERY.CRUZ,,,,,,,,christian,,,Contoso,"CN=Users,DC=contoso,DC=com"
TRAVIS,,MARSHALL,TRAVIS.MARSHALL,,,,,,,,121212,,,Contoso,"CN=Users,DC=contoso,DC=com"
JEFF,,ORTIZ,JEFF.ORTIZ,,,,,,,,sayang,,,Contoso,"CN=Users,DC=contoso,DC=com"
CHAD,,GOMEZ,CHAD.GOMEZ,,,,,,,,america,,,Contoso,"CN=Users,DC=contoso,DC=com"
JACOB,,MURRAY,JACOB.MURRAY,,,,,,,,dancer,,,Contoso,"CN=Users,DC=contoso,DC=com"
LEE,,FREEMAN,LEE.FREEMAN,,,,,,,,monica,,,Contoso,"CN=Users,DC=contoso,DC=com"
MELVIN,,WELLS,MELVIN.WELLS,,,,,,,,richard,,,Contoso,"CN=Users,DC=contoso,DC=com"
ALFRED,,WEBB,ALFRED.WEBB,,,,,,,,112233,,,Contoso,"CN=Users,DC=contoso,DC=com"
KYLE,,SIMPSON,KYLE.SIMPSON,,,,,,,,princess1,,,Contoso,"CN=Users,DC=contoso,DC=com"
FRANCIS,,STEVENS,FRANCIS.STEVENS,,,,,,,,555555,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRADLEY,,TUCKER,BRADLEY.TUCKER,,,,,,,,diamond,,,Contoso,"CN=Users,DC=contoso,DC=com"
JESUS,,PORTER,JESUS.PORTER,,,,,,,,carolina,,,Contoso,"CN=Users,DC=contoso,DC=com"
HERBERT,,HUNTER,HERBERT.HUNTER,,,,,,,,steven,,,Contoso,"CN=Users,DC=contoso,DC=com"
FREDERICK,,HICKS,FREDERICK.HICKS,,,,,,,,rangers,,,Contoso,"CN=Users,DC=contoso,DC=com"
RAY,,CRAWFORD,RAY.CRAWFORD,,,,,,,,louise,,,Contoso,"CN=Users,DC=contoso,DC=com"
JOEL,,HENRY,JOEL.HENRY,,,,,,,,orange,,,Contoso,"CN=Users,DC=contoso,DC=com"
EDWIN,,BOYD,EDWIN.BOYD,,,,,,,,789456,,,Contoso,"CN=Users,DC=contoso,DC=com"
DON,,MASON,DON.MASON,,,,,,,,999999,,,Contoso,"CN=Users,DC=contoso,DC=com"
EDDIE,,MORALES,EDDIE.MORALES,,,,,,,,shorty,,,Contoso,"CN=Users,DC=contoso,DC=com"
RICKY,,KENNEDY,RICKY.KENNEDY,,,,,,,,11111,,,Contoso,"CN=Users,DC=contoso,DC=com"
TROY,,WARREN,TROY.WARREN,,,,,,,,nathan,,,Contoso,"CN=Users,DC=contoso,DC=com"
RANDALL,,DIXON,RANDALL.DIXON,,,,,,,,snoopy,,,Contoso,"CN=Users,DC=contoso,DC=com"
BARRY,,RAMOS,BARRY.RAMOS,,,,,,,,gabriel,,,Contoso,"CN=Users,DC=contoso,DC=com"
ALEXANDER,,REYES,ALEXANDER.REYES,,,,,,,,hunter,,,Contoso,"CN=Users,DC=contoso,DC=com"
BERNARD,,BURNS,BERNARD.BURNS,,,,,,,,cherry,,,Contoso,"CN=Users,DC=contoso,DC=com"
MARIO,,GORDON,MARIO.GORDON,,,,,,,,killer,,,Contoso,"CN=Users,DC=contoso,DC=com"
LEROY,,SHAW,LEROY.SHAW,,,,,,,,sandra,,,Contoso,"CN=Users,DC=contoso,DC=com"
FRANCISCO,,HOLMES,FRANCISCO.HOLMES,,,,,,,,alejandro,,,Contoso,"CN=Users,DC=contoso,DC=com"
MARCUS,,RICE,MARCUS.RICE,,,,,,,,buster,,,Contoso,"CN=Users,DC=contoso,DC=com"
MICHEAL,,ROBERTSON,MICHEAL.ROBERTSON,,,,,,,,george,,,Contoso,"CN=Users,DC=contoso,DC=com"
THEODORE,,HUNT,THEODORE.HUNT,,,,,,,,brittany,,,Contoso,"CN=Users,DC=contoso,DC=com"
CLIFFORD,,BLACK,CLIFFORD.BLACK,,,,,,,,alejandra,,,Contoso,"CN=Users,DC=contoso,DC=com"
MIGUEL,,DANIELS,MIGUEL.DANIELS,,,,,,,,patricia,,,Contoso,"CN=Users,DC=contoso,DC=com"
OSCAR,,PALMER,OSCAR.PALMER,,,,,,,,rachel,,,Contoso,"CN=Users,DC=contoso,DC=com"
JAY,,MILLS,JAY.MILLS,,,,,,,,tequiero,,,Contoso,"CN=Users,DC=contoso,DC=com"
JIM,,NICHOLS,JIM.NICHOLS,,,,,,,,7777777,,,Contoso,"CN=Users,DC=contoso,DC=com"
TOM,,GRANT,TOM.GRANT,,,,,,,,cheese,,,Contoso,"CN=Users,DC=contoso,DC=com"
CALVIN,,KNIGHT,CALVIN.KNIGHT,,,,,,,,159753,,,Contoso,"CN=Users,DC=contoso,DC=com"
ALEX,,FERGUSON,ALEX.FERGUSON,,,,,,,,arsenal,,,Contoso,"CN=Users,DC=contoso,DC=com"
JON,,ROSE,JON.ROSE,,,,,,,,dolphin,,,Contoso,"CN=Users,DC=contoso,DC=com"
RONNIE,,STONE,RONNIE.STONE,,,,,,,,antonio,,,Contoso,"CN=Users,DC=contoso,DC=com"
BILL,,HAWKINS,BILL.HAWKINS,,,,,,,,heather,,,Contoso,"CN=Users,DC=contoso,DC=com"
LLOYD,,DUNN,LLOYD.DUNN,,,,,,,,david,,,Contoso,"CN=Users,DC=contoso,DC=com"
TOMMY,,PERKINS,TOMMY.PERKINS,,,,,,,,ginger,,,Contoso,"CN=Users,DC=contoso,DC=com"
LEON,,HUDSON,LEON.HUDSON,,,,,,,,stephanie,,,Contoso,"CN=Users,DC=contoso,DC=com"
DEREK,,SPENCER,DEREK.SPENCER,,,,,,,,peanut,,,Contoso,"CN=Users,DC=contoso,DC=com"
WARREN,,GARDNER,WARREN.GARDNER,,,,,,,,blink182,,,Contoso,"CN=Users,DC=contoso,DC=com"
DARRELL,,STEPHENS,DARRELL.STEPHENS,,,,,,,,sweetie,,,Contoso,"CN=Users,DC=contoso,DC=com"
JEROME,,PAYNE,JEROME.PAYNE,,,,,,,,222222,,,Contoso,"CN=Users,DC=contoso,DC=com"
FLOYD,,PIERCE,FLOYD.PIERCE,,,,,,,,beauty,,,Contoso,"CN=Users,DC=contoso,DC=com"
LEO,,BERRY,LEO.BERRY,,,,,,,,987654,,,Contoso,"CN=Users,DC=contoso,DC=com"
ALVIN,,MATTHEWS,ALVIN.MATTHEWS,,,,,,,,victoria,,,Contoso,"CN=Users,DC=contoso,DC=com"
TIM,,ARNOLD,TIM.ARNOLD,,,,,,,,honey,,,Contoso,"CN=Users,DC=contoso,DC=com"
WESLEY,,WAGNER,WESLEY.WAGNER,,,,,,,,123456789,,,Contoso,"CN=Users,DC=contoso,DC=com"
GORDON,,WILLIS,GORDON.WILLIS,,,,,,,,fernando,,,Contoso,"CN=Users,DC=contoso,DC=com"
DEAN,,RAY,DEAN.RAY,,,,,,,,pokemon,,,Contoso,"CN=Users,DC=contoso,DC=com"
GREG,,WATKINS,GREG.WATKINS,,,,,,,,maggie,,,Contoso,"CN=Users,DC=contoso,DC=com"
JORGE,,OLSON,JORGE.OLSON,,,,,,,,corazon,,,Contoso,"CN=Users,DC=contoso,DC=com"
DUSTIN,,CARROLL,DUSTIN.CARROLL,,,,,,,,chicken,,,Contoso,"CN=Users,DC=contoso,DC=com"
PEDRO,,DUNCAN,PEDRO.DUNCAN,,,,,,,,pepper,,,Contoso,"CN=Users,DC=contoso,DC=com"
DERRICK,,SNYDER,DERRICK.SNYDER,,,,,,,,cristina,,,Contoso,"CN=Users,DC=contoso,DC=com"
DAN,,HART,DAN.HART,,,,,,,,rainbow,,,Contoso,"CN=Users,DC=contoso,DC=com"
LEWIS,,CUNNINGHAM,LEWIS.CUNNINGHAM,,,,,,,,kisses,,,Contoso,"CN=Users,DC=contoso,DC=com"
ZACHARY,,BRADLEY,ZACHARY.BRADLEY,,,,,,,,manuel,,,Contoso,"CN=Users,DC=contoso,DC=com"
COREY,,LANE,COREY.LANE,,,,,,,,myspace,,,Contoso,"CN=Users,DC=contoso,DC=com"
HERMAN,,ANDREWS,HERMAN.ANDREWS,,,,,,,,rebelde,,,Contoso,"CN=Users,DC=contoso,DC=com"
MAURICE,,RUIZ,MAURICE.RUIZ,,,,,,,,angel1,,,Contoso,"CN=Users,DC=contoso,DC=com"
VERNON,,HARPER,VERNON.HARPER,,,,,,,,ricardo,,,Contoso,"CN=Users,DC=contoso,DC=com"
ROBERTO,,FOX,ROBERTO.FOX,,,,,,,,babygurl,,,Contoso,"CN=Users,DC=contoso,DC=com"
CLYDE,,RILEY,CLYDE.RILEY,,,,,,,,heaven,,,Contoso,"CN=Users,DC=contoso,DC=com"
GLEN,,ARMSTRONG,GLEN.ARMSTRONG,,,,,,,,55555,,,Contoso,"CN=Users,DC=contoso,DC=com"
HECTOR,,CARPENTER,HECTOR.CARPENTER,,,,,,,,baseball,,,Contoso,"CN=Users,DC=contoso,DC=com"
SHANE,,WEAVER,SHANE.WEAVER,,,,,,,,martin,,,Contoso,"CN=Users,DC=contoso,DC=com"
RICARDO,,GREENE,RICARDO.GREENE,,,,,,,,greenday,,,Contoso,"CN=Users,DC=contoso,DC=com"
SAM,,LAWRENCE,SAM.LAWRENCE,,,,,,,,november,,,Contoso,"CN=Users,DC=contoso,DC=com"
RICK,,ELLIOTT,RICK.ELLIOTT,,,,,,,,alyssa,,,Contoso,"CN=Users,DC=contoso,DC=com"
LESTER,,CHAVEZ,LESTER.CHAVEZ,,,,,,,,madison,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRENT,,SIMS,BRENT.SIMS,,,,,,,,mother,,,Contoso,"CN=Users,DC=contoso,DC=com"
RAMON,,AUSTIN,RAMON.AUSTIN,,,,,,,,123321,,,Contoso,"CN=Users,DC=contoso,DC=com"
CHARLIE,,PETERS,CHARLIE.PETERS,,,,,,,,123abc,,,Contoso,"CN=Users,DC=contoso,DC=com"
TYLER,,KELLEY,TYLER.KELLEY,,,,,,,,mahalkita,,,Contoso,"CN=Users,DC=contoso,DC=com"
GILBERT,,FRANKLIN,GILBERT.FRANKLIN,,,,,,,,batman,,,Contoso,"CN=Users,DC=contoso,DC=com"
GENE,,LAWSON,GENE.LAWSON,,,,,,,,september,,,Contoso,"CN=Users,DC=contoso,DC=com"
MARC,,FIELDS,MARC.FIELDS,,,,,,,,december,,,Contoso,"CN=Users,DC=contoso,DC=com"
REGINALD,,GUTIERREZ,REGINALD.GUTIERREZ,,,,,,,,morgan,,,Contoso,"CN=Users,DC=contoso,DC=com"
RUBEN,,RYAN,RUBEN.RYAN,,,,,,,,mariposa,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRETT,,SCHMIDT,BRETT.SCHMIDT,,,,,,,,maria,,,Contoso,"CN=Users,DC=contoso,DC=com"
ANGEL,,CARR,ANGEL.CARR,,,,,,,,gabriela,,,Contoso,"CN=Users,DC=contoso,DC=com"
NATHANIEL,,VASQUEZ,NATHANIEL.VASQUEZ,,,,,,,,iloveyou2,,,Contoso,"CN=Users,DC=contoso,DC=com"
RAFAEL,,CASTILLO,RAFAEL.CASTILLO,,,,,,,,bailey,,,Contoso,"CN=Users,DC=contoso,DC=com"
LESLIE,,WHEELER,LESLIE.WHEELER,,,,,,,,jeremy,,,Contoso,"CN=Users,DC=contoso,DC=com"
EDGAR,,CHAPMAN,EDGAR.CHAPMAN,,,,,,,,pamela,,,Contoso,"CN=Users,DC=contoso,DC=com"
MILTON,,OLIVER,MILTON.OLIVER,,,,,,,,kimberly,,,Contoso,"CN=Users,DC=contoso,DC=com"
RAUL,,MONTGOMERY,RAUL.MONTGOMERY,,,,,,,,gemini,,,Contoso,"CN=Users,DC=contoso,DC=com"
BEN,,RICHARDS,BEN.RICHARDS,,,,,,,,shannon,,,Contoso,"CN=Users,DC=contoso,DC=com"
CHESTER,,WILLIAMSON,CHESTER.WILLIAMSON,,,,,,,,pictures,,,Contoso,"CN=Users,DC=contoso,DC=com"
CECIL,,JOHNSTON,CECIL.JOHNSTON,,,,,,,,asshole,,,Contoso,"CN=Users,DC=contoso,DC=com"
DUANE,,BANKS,DUANE.BANKS,,,,,,,,sophie,,,Contoso,"CN=Users,DC=contoso,DC=com"
FRANKLIN,,MEYER,FRANKLIN.MEYER,,,,,,,,jessie,,,Contoso,"CN=Users,DC=contoso,DC=com"
ANDRE,,BISHOP,ANDRE.BISHOP,,,,,,,,hellokitty,,,Contoso,"CN=Users,DC=contoso,DC=com"
ELMER,,MCCOY,ELMER.MCCOY,,,,,,,,claudia,,,Contoso,"CN=Users,DC=contoso,DC=com"
BRAD,,HOWELL,BRAD.HOWELL,,,,,,,,babygirl1,,,Contoso,"CN=Users,DC=contoso,DC=com"
GABRIEL,,ALVAREZ,GABRIEL.ALVAREZ,,,,,,,,angelica,,,Contoso,"CN=Users,DC=contoso,DC=com"
RON,,MORRISON,RON.MORRISON,,,,,,,,austin,,,Contoso,"CN=Users,DC=contoso,DC=com"
MITCHELL,,HANSEN,MITCHELL.HANSEN,,,,,,,,mahalko,,,Contoso,"CN=Users,DC=contoso,DC=com"
ROLAND,,FERNANDEZ,ROLAND.FERNANDEZ,,,,,,,,victor,,,Contoso,"CN=Users,DC=contoso,DC=com"
